,water2,water3,xtilt,ytilt
44,23.25,24.51,-5.394973434832966,-1.1961995992795502
45,23.25,24.5,-5.395024251899629,-1.1978287684211342
46,23.25,24.51,-5.394529758806402,-1.2063342864253799
47,23.26,24.5,-5.394562825952585,-1.2058002361845979
48,23.26,24.5,-5.394310457669947,-1.2054524265624873
49,23.25,24.5,-5.394578189442854,-1.2052239736633314
50,23.26,24.5,-5.393163475179823,-1.2039345030054933
51,23.26,24.5,-5.394229063505411,-1.206859882965928
52,23.26,24.51,-5.393624989978012,-1.2046766313970014
53,23.26,24.52,-5.3943509036590145,-1.2059266662256212
54,23.26,24.51,-5.394496752964543,-1.2048749104676542
55,23.26,24.51,-5.393691375069963,-1.204410887810292
56,23.26,24.51,-5.393635681855503,-1.2038580551909654
57,23.26,24.51,-5.392852703130944,-1.206013954282855
58,23.26,24.51,-5.393692398936415,-1.2048950616250853
59,23.26,24.51,-5.393572841083842,-1.2049020011930256
60,23.26,24.51,-5.393486692667549,-1.2045533440785434
61,23.26,24.51,-5.392751447726892,-1.2047063936794429
62,23.26,24.51,-5.392903421607115,-1.204195622700325
63,23.26,24.51,-5.393115141984011,-1.2063989418195296
64,23.26,24.52,-5.393379418398015,-1.2055352918525732
65,23.27,24.51,-5.392668924363126,-1.205804858049219
66,23.27,24.51,-5.39272533878252,-1.2050398103998186
67,23.27,24.52,-5.39269085698047,-1.2051093567107556
68,23.27,24.52,-5.393037989072756,-1.205404728296425
69,23.26,24.52,-5.3934724490159764,-1.2059080172545047
70,23.28,24.51,-5.391808466230264,-1.2054139040664191
71,23.27,24.51,-5.3918024965489035,-1.2048937796601638
72,23.27,24.51,-5.392074547023438,-1.2055393492439153
73,23.28,24.51,-5.392845418833809,-1.2045281401887442
74,23.28,24.52,-5.392167896228336,-1.2032391481393945
75,23.28,24.52,-5.392484453926132,-1.205005173399923
76,23.28,24.51,-5.391789186419152,-1.205445509930879
77,23.28,24.52,-5.392481030397212,-1.2053520531108233
78,23.27,24.51,-5.391121608052724,-1.2047729759282517
79,23.29,24.52,-5.39182040807012,-1.2056087532438222
