,water2,water3,xtilt,ytilt
338,22.13,25.67,-1.4742834698392275,-2.147149750121562
339,22.1,25.68,-1.4752229033169877,-2.1468129322855205
340,22.21,25.67,-1.4779571087848753,-2.149178728908735
341,22.23,25.67,-1.479785356369188,-2.150912908454461
342,22.34,25.67,-1.481154020564101,-2.1520890786442926
343,22.39,25.66,-1.4804833757611584,-2.153084414765728
344,22.42,25.65,-1.4803936350578226,-2.1536750923017527
345,22.43,25.64,-1.4805737945359174,-2.154576338775452
346,22.45,25.63,-1.4815079944954277,-2.155412484688537
347,22.46,25.63,-1.481723567050496,-2.155941909661358
348,22.47,25.62,-1.4813207527093781,-2.1563739719297574
349,22.48,25.62,-1.4812908595391587,-2.1558510350933577
350,22.49,25.62,-1.482051871619017,-2.156300688704206
351,22.49,25.61,-1.4830300570666448,-2.1573314831569
352,22.5,25.62,-1.4831323329092525,-2.1568427261890597
353,22.51,25.61,-1.4820106821801033,-2.1559753695355535
354,22.51,25.62,-1.4839629272826973,-2.1571100250583126
355,22.52,25.62,-1.4838803332183916,-2.1577087518405413
356,22.52,25.61,-1.4840095534277324,-2.157620174769779
357,22.52,25.61,-1.4845657783451958,-2.15735177176241
358,22.53,25.61,-1.4835591597159563,-2.1568816741660592
359,22.54,25.62,-1.4839362290846247,-2.1584094329881203
360,22.54,25.62,-1.4842122841023146,-2.159093117685613
361,22.53,25.62,-1.4841213648974307,-2.1586299703742173
362,22.54,25.62,-1.4846974847913756,-2.16026716364855
363,22.54,25.62,-1.4849348168621228,-2.1603932420350103
364,22.55,25.63,-1.48488658942047,-2.160584432121479
365,22.55,25.62,-1.4834956705633071,-2.159805192198827
366,22.55,25.63,-1.4847506605490175,-2.1599600195545685
367,22.55,25.63,-1.4850415732355404,-2.158531931773166
368,22.56,25.63,-1.4842666337772643,-2.1604587406398585
369,22.56,25.63,-1.48735760444853,-2.161267092147157
370,22.55,25.63,-1.487824242265968,-2.161993643259729
371,22.56,25.63,-1.4842111595111918,-2.1608421707455965
372,22.56,25.63,-1.4878647641835276,-2.1599196050283416
373,22.56,25.64,-1.485274849588554,-2.160367535573576
374,22.57,25.64,-1.485702583267656,-2.1624026902939995
375,22.57,25.64,-1.4876229520529554,-2.1597891560125118
376,22.57,25.64,-1.4886964266731293,-2.162851368843851
377,22.57,25.64,-1.4877819690580993,-2.163300719724514
378,22.58,25.65,-1.4878798549608476,-2.164450595995326
379,22.58,25.66,-1.487912038450228,-2.1639748685869264
380,22.58,25.66,-1.4874187488856498,-2.164191503440334
381,22.59,25.66,-1.4868758464362193,-2.164371590103718
382,22.6,25.67,-1.4858605190784329,-2.1636846793907076
383,22.61,25.66,-1.4858168951178874,-2.163163390190692
384,22.61,25.67,-1.485979923584754,-2.1614154509038705
385,22.61,25.67,-1.4856549590892212,-2.1616475052520427
386,22.62,25.68,-1.4853602442886036,-2.1618194356775775
387,22.62,25.69,-1.483689480390044,-2.1618215802907947
388,22.63,25.7,-1.4840470596839817,-2.162209092627603
389,22.65,25.71,-1.4848583062147742,-2.1631394537505475
390,22.65,25.72,-1.4844312075928645,-2.1633123746253955
391,22.66,25.75,-1.4842434256498793,-2.1637251272454305
392,22.66,25.76,-1.4850184245336175,-2.162366258343082
393,22.66,25.77,-1.4854178039317325,-2.162789627491846
394,22.67,25.78,-1.4808258028828147,-2.15622379496432
395,22.64,25.81,-1.4840438000221163,-2.162221760860529
396,22.6,25.84,-1.4841481704729604,-2.16156577059496
397,22.58,25.85,-1.4833873966114275,-2.161446529971517
398,22.54,25.86,-1.4834519864239106,-2.1619070921477013
399,22.52,25.89,-1.4825642489940603,-2.1628047851671877
400,22.48,25.9,-1.4822132778272235,-2.160353057079142
401,22.44,25.91,-1.4818164491418062,-2.1611142385309896
402,22.4,25.91,-1.4821252667225213,-2.158150652974316
403,22.36,25.91,-1.4805537710443346,-2.1589558951531878
404,22.31,25.9,-1.483423856972063,-2.159624494890163
405,22.28,25.9,-1.480065506507828,-2.1612721632927934
406,22.24,25.89,-1.4828027087036704,-2.160196928778697
407,22.21,25.88,-1.4826608659646785,-2.1608408113882804
408,22.19,25.88,-1.4794690639748842,-2.1602079390808053
409,22.16,25.87,-1.4793717588465403,-2.1609886605073902
410,22.13,25.86,-1.4785490614781616,-2.1602091126611076
411,22.1,25.85,-1.4783178749060375,-2.1598641346232377
412,22.08,25.85,-1.480245702234656,-2.1607287980026144
413,22.05,25.85,-1.4810245261270618,-2.160533820182763
414,22.04,25.84,-1.4803718211274124,-2.1590011812847822
415,22.0,25.83,-1.481297026445126,-2.158981348470003
416,22.0,25.82,-1.4804075141031432,-2.1583677248650184
417,21.97,25.82,-1.4808698792455666,-2.1594309750084855
418,21.95,25.83,-1.480173380332186,-2.158976282735104
419,21.93,25.82,-1.4801172590751537,-2.1582757574836875
420,21.91,25.81,-1.4813732219718336,-2.159574392840588
421,21.89,25.8,-1.4813326573365402,-2.1596949687486555
422,21.88,25.8,-1.481060735459331,-2.1588816439634253
423,21.86,25.8,-1.4809000253875664,-2.1599483553098353
424,21.86,25.79,-1.481502682040351,-2.160702189644739
425,21.85,25.79,-1.4826910502807467,-2.1606933242676964
426,21.84,25.78,-1.481847324204815,-2.1609324712494122
427,21.83,25.77,-1.481527055989915,-2.1610678367998197
428,21.83,25.78,-1.4818577225594969,-2.1612284232527483
429,21.82,25.78,-1.481352158812242,-2.161941382721284
430,21.81,25.78,-1.481680869941283,-2.160770254507151
431,21.8,25.77,-1.4827598813078957,-2.1623378695241215
432,21.79,25.77,-1.4819495746002929,-2.161713875438656
433,21.78,25.77,-1.482795405670334,-2.16240180881556
434,21.78,25.76,-1.4824990036607788,-2.1623432810941083
435,21.77,25.76,-1.4824815040259416,-2.1612975891711526
436,21.76,25.77,-1.483914610586797,-2.160253986576315
437,21.75,25.76,-1.4844608203046523,-2.162009877432656
438,21.75,25.76,-1.4807494314902405,-2.1614900678141167
439,21.74,25.76,-1.481121231662906,-2.160712340585876
440,21.73,25.75,-1.484515828255188,-2.162064552423517
441,21.73,25.75,-1.482175698092562,-2.1616512039570086
442,21.72,25.75,-1.4849295328514034,-2.1617032654129176
443,21.72,25.74,-1.4834114052352716,-2.1642134082799767
444,21.7,25.74,-1.4846679216555507,-2.1632744817282323
445,21.71,25.74,-1.482252193973807,-2.1624324908027712
446,21.71,25.74,-1.4848845559967567,-2.1628317030346382
447,21.7,25.74,-1.4848027485638995,-2.16205972078089
448,21.69,25.74,-1.4836936775378757,-2.1639366364058863
449,21.69,25.75,-1.4833732782261781,-2.16394070486833
450,21.7,25.75,-1.4825904142951742,-2.162653933334988
451,21.69,25.75,-1.4836183687575164,-2.164096896336293
452,21.68,25.75,-1.4837362659231836,-2.1633353608754633
453,21.68,25.76,-1.4821940594373857,-2.1620999081699863
454,21.67,25.76,-1.4811527058571188,-2.16237830096469
455,21.67,25.76,-1.4807363215533718,-2.1606649424658473
456,21.67,25.74,-1.480600375225407,-2.1611589325056464
457,21.66,25.76,-1.479915206773796,-2.16150955391487
458,21.66,25.77,-1.4805071674110541,-2.160922340938191
459,21.65,25.77,-1.4798669197475949,-2.1606881547816537
460,21.63,25.78,-1.4797427307595648,-2.161415477912174
461,21.61,25.78,-1.479448215518478,-2.161100781566791
462,21.6,25.78,-1.4802304028481155,-2.161383235699778
463,21.58,25.79,-1.481040911417332,-2.161376748848756
464,21.56,25.8,-1.4794742000975478,-2.160910206468123
465,21.55,25.8,-1.4799838566884795,-2.160985624203751
466,21.53,25.81,-1.479748498538071,-2.160965102521764
467,21.5,25.82,-1.4791485427471658,-2.160223023142186
468,21.46,25.82,-1.479353157880151,-2.1588195682513187
469,21.42,25.83,-1.4799403920653775,-2.1597050667795004
470,21.39,25.84,-1.4786409386491237,-2.1587330396193956
471,21.35,25.86,-1.4788017674713843,-2.1591117496910814
472,21.32,25.85,-1.4796252131591723,-2.158851913440091
473,21.28,25.85,-1.4792128902718686,-2.158487880915798
474,21.24,25.86,-1.4797489119532603,-2.1589811180929575
475,21.19,25.86,-1.4794910246366653,-2.1587881868498884
